ANO;LOCALIDAD;SEXO;MIGRANTE;TOTAL_NACIDOS_VIVOS;TOTAL_BPN;PROPORCIÓN
2017;13 - Teusaquillo;Masculino;Sin Informacion;1;0;0.0
2018;00 - Bogotá;Femenino;Colombiano;41282;6122;14.83
2018;08 - Kennedy;Femenino;Colombiano;5883;820;13.94
2018;07 - Bosa;Femenino;Colombiano;4415;665;15.06
2018;16 - Puente Aranda;Femenino;Colombiano;1092;162;14.84
2018;19 - Ciudad Bolívar;Femenino;Colombiano;4458;673;15.1
2018;01 - Usaquén;Femenino;Colombiano;2560;349;13.63
2018;11 - Suba;Femenino;Colombiano;5708;846;14.82
2018;05 - Usme;Femenino;Colombiano;2365;380;16.07
2018;13 - Teusaquillo;Femenino;Colombiano;549;84;15.3
2018;09 - Fontibón;Femenino;Colombiano;1746;249;14.26
2018;18 - Rafael Uribe Uribe;Femenino;Colombiano;2181;342;15.68
2018;04 - San Cristóbal;Femenino;Colombiano;2328;391;16.8
2018;12 - Barrios Unidos;Femenino;Colombiano;606;86;14.19
2018;10 - Engativá;Femenino;Colombiano;3794;553;14.58
2018;14 - Los Mártires;Femenino;Colombiano;504;67;13.29
2018;06 - Tunjuelito;Femenino;Colombiano;1079;146;13.53
2018;02 - Chapinero;Femenino;Colombiano;678;113;16.67
2018;03 - Santa Fe;Femenino;Colombiano;690;101;14.64
2018;15 - Antonio Nariño;Femenino;Colombiano;431;57;13.23
2018;99 - Sin Información;Femenino;Colombiano;83;18;21.69
2018;17 - La Candelaria;Femenino;Colombiano;115;16;13.91
2018;20 - Sumapaz;Femenino;Colombiano;17;4;23.53
2018;00 - Bogotá;Femenino;Extranjero;1089;144;13.22
2018;01 - Usaquén;Femenino;Extranjero;161;24;14.91
2018;11 - Suba;Femenino;Extranjero;145;22;15.17
2018;08 - Kennedy;Femenino;Extranjero;147;18;12.24
2018;10 - Engativá;Femenino;Extranjero;116;14;12.07
2018;02 - Chapinero;Femenino;Extranjero;90;14;15.56
2018;07 - Bosa;Femenino;Extranjero;92;17;18.48
2018;16 - Puente Aranda;Femenino;Extranjero;18;1;5.56
2018;12 - Barrios Unidos;Femenino;Extranjero;18;2;11.11
2018;09 - Fontibón;Femenino;Extranjero;50;2;4.0
2018;18 - Rafael Uribe Uribe;Femenino;Extranjero;40;7;17.5
2018;03 - Santa Fe;Femenino;Extranjero;22;0;0.0
2018;19 - Ciudad Bolívar;Femenino;Extranjero;53;6;11.32
2018;20 - Sumapaz;Femenino;Extranjero;1;0;0.0
2018;06 - Tunjuelito;Femenino;Extranjero;24;3;12.5
2018;04 - San Cristóbal;Femenino;Extranjero;31;6;19.35
2018;13 - Teusaquillo;Femenino;Extranjero;17;0;0.0
2018;05 - Usme;Femenino;Extranjero;28;4;14.29
2018;14 - Los Mártires;Femenino;Extranjero;19;1;5.26
2018;15 - Antonio Nariño;Femenino;Extranjero;12;2;16.67
2018;17 - La Candelaria;Femenino;Extranjero;2;1;50.0
2018;99 - Sin Información;Femenino;Extranjero;3;0;0.0
2018;00 - Bogotá;Femenino;Sin Informacion;253;41;16.21
2018;07 - Bosa;Femenino;Sin Informacion;17;3;17.65
2018;10 - Engativá;Femenino;Sin Informacion;44;7;15.91
2018;04 - San Cristóbal;Femenino;Sin Informacion;13;3;23.08
